Clear Domain,Type,URL,DNS Lookup (ms),TCP Connect (ms),TLS Handshake (ms),DOMContentLoaded (ms),Page Load (ms),Total Time (ms),Circuit Relays (Onion only)
taz.de,onion,http://zervmwoc5flabhlh3heegnspbpoebbgr3kgkaarkpnz2gtsuunlxgqyd.onion/!p4608;web/,0,0,,7281,9270,9270,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; C5CFC43FED537819DDE924CD442F74C7482E711C:dumpsterfire2:23.83.135.225:US
taz.de,clear,https://taz.de,1,148,,435,717,717,
marxists.org,onion,http://www.marxists3va6eopxoeiegih3iyex2zg3tmace7afbxjqlabmranzjjad.onion/index.htm,0,953,,1778,2723,2723,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 1EC4FAEC2478CCC13F71AA6C43285A467E23137D:titanium:2.59.254.198:NL
marxists.org,clear,https://marxists.org,24,119,,432,617,617,
wiz.biz,onion,http://wizbizrnszzzyfe6j75tpwd7hn4gf2tlvzdsokkosxfbox73ctzaqdqd.onion/,0,1675,,2541,2886,2886,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 2144EC311E714F30648F2B62546E2CA28FDBD36B:caseyjones:164.215.103.126:NL
wiz.biz,clear,https://wiz.biz,1,333,,702,868,868,
f-droid.org,onion,http://fdroidorg6cooksyluodepej4erfctzk7rrjpjbbr6wx24jh3lqyfwyd.onion/index.html.en,0,1142,,5116,5737,5737,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 912A7C57E05606AF602EC63D1D06BBD5C7AAE516:0x3d02:145.239.206.31:GB
f-droid.org,clear,https://f-droid.org,2,100,,409,515,515,
cock.li,onion,http://rurcblzhmdk22kttfkel2zduhyu3r6to7knyc7wiorzrx5gw4c3lftad.onion/,0,1513,,1863,2306,2306,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; BC8E6EEBD86DAE41D142FF56DA90398558E76479:noack12i1:195.47.238.176:SE
cock.li,clear,https://cock.li,18,88,,177,261,261,
mediapart.fr,onion,https://www.mediapartrvj4bsgolbxixw57ru7fh4jqckparke4vs365guu6ho64yd.onion/,0,1476,,3798,4609,4609,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 45959A38ACAF2ECFB488A3C69D0C04F42438AB9D:venusseries:79.117.113.156:ES
mediapart.fr,clear,https://mediapart.fr,20,0,,368,434,434,
riseup.net,onion,http://vww6ybal4bd7szmgncyruucpgfkqahzddi37ktceo3ah7ngmcopnpyyd.onion/index.en.html,0,2031,,2689,5717,5717,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; 09243123F0D9AF8A377D1A29B83457F0A7065A93:GOGRelayAlb11:78.159.131.66:NL
riseup.net,clear,https://riseup.net,16,523,,728,3058,3058,
blockstream.info,onion,http://explorerzydxu5ecjrkwceayqybizmpjjznk5izmitf2modhcusuqlid.onion/,0,1307,,1820,7965,7965,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 9423A72BBC8B5C6AC9DE9F57735EB2B08E4156E8:ForPrivacyNET:185.220.101.211:DE
blockstream.info,clear,https://blockstream.info,33,141,,475,1874,1874,
svoboda.org,onion,https://www.svobod7mjzb3hwxhgcnx7ui2ffd4p5zulftzkzdlmpaztuuoxnlpwhyd.onion/,0,2556,,5557,11758,11758,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; E9F1C405585300BC196EA7E9C021B930773AB552:prsv:51.210.179.144:FR
svoboda.org,clear,https://svoboda.org,23,15,,347,1234,1234,
