Clear Domain,Type,URL,DNS Lookup (ms),TCP Connect (ms),TLS Handshake (ms),DOMContentLoaded (ms),Page Load (ms),Total Time (ms),Circuit Relays (Onion only)
archive.is,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0,1781,,2949,2950,2950,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 1F2FC2214D63A90926D0A6837896F84A16F4DB60:Cornball:198.244.212.57:GB
archive.is,clear,https://archive.is,33,980,,1647,2526,2526,
rferl.org,onion,https://www.rferlo2zxgv23tct66v45s5mecftol5vod3hf4rqbipfp46fqu2q56ad.onion/,0,1944,,3352,7015,7015,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 1B0AAE2012DB8E364A42739906249E1E8959A216:prsv:57.129.44.38:DE
rferl.org,clear,https://rferl.org,34,15,,323,1483,1483,
mullvad.net,onion,http://o54hon2e2vj6c7m3aqqu6uyece65by3vgoxxhlqlsvkmacw6a7m7kiad.onion/en,0,714,,1821,5996,5996,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; EA670AB58CD5E1D5DCAB571D100EA1D36D72CA28:billgates:95.217.39.117:FI
mullvad.net,clear,https://mullvad.net,0,0,1,344,508,508,
archive.ph,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0,520,,1281,1282,1282,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 1F2FC2214D63A90926D0A6837896F84A16F4DB60:Cornball:198.244.212.57:GB
archive.ph,clear,https://archive.ph,31,1020,,1703,2358,2358,
mempool.space,onion,http://mempoolhqx4isw62xs7abwphsq7ldayuidyx2v2oethdhhj6mlo2r6ad.onion/,0,0,,10544,13014,13014,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 362FA049325802519090C86BC43FC3C6ACBF5613:bl4ckrid3r:141.79.10.16:DE
mempool.space,clear,https://mempool.space,0,0,2,497,1988,1988,
taz.de,onion,http://zervmwoc5flabhlh3heegnspbpoebbgr3kgkaarkpnz2gtsuunlxgqyd.onion/!p4608;web/,0,0,,2556,3617,3617,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 2E593E0EC59788020C7A4429BB93F2F825E47A21:SmoothOperator:77.162.216.182:NL
taz.de,clear,https://taz.de,0,108,1,399,529,529,
marxists.org,onion,http://www.marxists3va6eopxoeiegih3iyex2zg3tmace7afbxjqlabmranzjjad.onion/index.htm,0,1014,,1678,3564,3564,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; 8BB2D94845D3F74614F6A3D131B00C41AC4B38E6:prsv:91.219.23.77:DE
marxists.org,clear,https://marxists.org,29,119,,471,648,648,
wiz.biz,onion,http://wizbizrnszzzyfe6j75tpwd7hn4gf2tlvzdsokkosxfbox73ctzaqdqd.onion/,0,1700,,2913,3790,3790,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; F73E6FC9F0730D86AFE5C88C4E63A10383DF7E32:GermanCraft8:103.241.51.34:DE
wiz.biz,clear,https://wiz.biz,1,336,,697,860,860,
f-droid.org,onion,http://fdroidorg6cooksyluodepej4erfctzk7rrjpjbbr6wx24jh3lqyfwyd.onion/index.html.en,0,3872,,4846,5478,5478,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; FA561E534DDDE63830FA0B0A484235ED23BB27A3:53c70r:85.215.67.230:DE
f-droid.org,clear,https://f-droid.org,12,93,,389,440,440,
cock.li,onion,http://rurcblzhmdk22kttfkel2zduhyu3r6to7knyc7wiorzrx5gw4c3lftad.onion/,0,901,,1322,1991,1991,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; E1AF5373E3240566B598FA481AD3860549F6168B:ForPrivacyNET:185.220.101.199:DE
cock.li,clear,https://cock.li,11,76,,157,240,240,
mediapart.fr,onion,https://www.mediapartrvj4bsgolbxixw57ru7fh4jqckparke4vs365guu6ho64yd.onion/,0,868,,2582,3127,3127,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 31E9376297548B280898C8E0A0859D2FC72B74D9:Death:195.201.95.26:DE
mediapart.fr,clear,https://mediapart.fr,26,0,,378,475,475,
riseup.net,onion,http://vww6ybal4bd7szmgncyruucpgfkqahzddi37ktceo3ah7ngmcopnpyyd.onion/index.en.html,0,1948,,2477,5596,5596,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 05525A11C5097836410DBEC6A747CAF20E13BCBF:testr0cket2i1:45.84.106.220:SE
riseup.net,clear,https://riseup.net,140,613,1,967,3757,3757,
blockstream.info,onion,http://explorerzydxu5ecjrkwceayqybizmpjjznk5izmitf2modhcusuqlid.onion/,0,1550,,2223,8472,8472,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; CBFA5CE9FCF39B6FBB12CF0A0899608F16DC67A5:prsv:2.58.56.92:NL
blockstream.info,clear,https://blockstream.info,0,314,,624,2216,2216,
svoboda.org,onion,https://www.svobod7mjzb3hwxhgcnx7ui2ffd4p5zulftzkzdlmpaztuuoxnlpwhyd.onion/,0,1487,,2942,6634,6634,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 572F35921087A99640D863A8F156E75252A5F6CC:verygood:116.203.222.169:DE
svoboda.org,clear,https://svoboda.org,22,15,,391,1312,1312,
archive.org,onion,https://archivep75mbjunhxc6x4j5mwjmomyxb573v42baldlqu56ruil2oiad.onion/,0,2230,,4981,11821,11821,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; C98FD8367B5EF0A7689A81E089A256BC7303DC06:YouTubeSucks:45.84.107.142:SE
archive.org,clear,https://archive.org,17,325,,1154,2190,2190,
theguardian.com,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0,1439,,3589,11688,11688,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; A9C1886D47A57EB11D85D8635089B71EE7102DE7:TheStorm:37.228.129.128:FI
theguardian.com,clear,https://theguardian.com,0,0,2,414,520,520,
brave.com,onion,https://brave4u7jddbv7cyviptqjc7jusxh72uik7zt6adtckl5f4nwy2v72qd.onion/index.html,0,0,,5307,7993,7993,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 98445B800D22D2DE02813DFEE3EB78FE3D55D062:ogmaco:64.65.1.78:US
brave.com,clear,https://brave.com,25,47,,378,418,418,
guardian.co.uk,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0,602,,2104,2927,2927,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; A9C1886D47A57EB11D85D8635089B71EE7102DE7:TheStorm:37.228.129.128:FI
guardian.co.uk,clear,https://guardian.co.uk,0,0,2,326,446,446,
voanews.com,onion,https://www.voanews5aitmne6gs2btokcacixclgfl43cv27sirgbauyyjylwpdtqd.onion/,0,2472,,5111,9256,9256,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; EC3EC2E26C9C57B46686E9EFE7EEABD4B570D6D3:VeilsOfTheOnion:45.83.105.223:DE
voanews.com,clear,https://voanews.com,27,17,,323,1254,1254,
proton.me,onion,https://protonmailrmez3lotccipshtkleegetolb73fuirgj7r4o4vfu7ozyd.onion/,0,1324,,2794,4047,4047,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; 79A736CF9E509FD79A39ACC24A3F4AF7AD103533:TheTerrorWorld2:5.181.80.181:BG
proton.me,clear,https://proton.me,13,60,,292,513,513,
amnesty.org,onion,https://www.amnestyl337aduwuvpf57irfl54ggtnuera45ygcxzuftwxjvvmpuzqd.onion,0,0,1,9600,10382,10382,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 19662E686C17A590849FB4199818758032618926:Kyiv:91.231.182.201:UA
amnesty.org,clear,https://amnesty.org,0,0,1,745,764,764,
propublica.org,onion,http://p53lf57qovyuvwsc6xnrppyply3vtqm7l6pcobkmyqsiofyeznfu5uqd.onion/,0,4634,,6310,11056,11056,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 71BDE046C380BB04B0C6392666956E82651F89EE:thisismickysrelay:132.145.132.168:US
propublica.org,clear,https://propublica.org,23,17,1,871,1922,1922,
torproject.org,onion,http://2gzyxa5ihm7nsggfxnu52rck2vv4rvmdlkiu3zzui5du4xyclen53wid.onion/index.html,0,3835,,4649,5757,5757,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 613F712A09B110C84F963897BD7A66735C10B6B0:TuerUndTor:85.215.222.151:DE
torproject.org,clear,https://torproject.org,17,43,,705,818,818,
archive.is,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0,2065,,3361,3361,3361,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 083C52051140DB8AF770BD40C7C8883EFFF4CAF3:NAKAM:212.227.165.251:DE
archive.is,clear,https://archive.is,27,996,,1903,2765,2765,
rferl.org,onion,https://www.rferlo2zxgv23tct66v45s5mecftol5vod3hf4rqbipfp46fqu2q56ad.onion/,0,2190,1,3906,7884,7884,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 817F5E3E4F8E35D983610AD803ABDBD0D4DB32B9:FiveEyes:81.171.6.89:NL
rferl.org,clear,https://rferl.org,47,39,1,474,1502,1502,
mullvad.net,onion,http://o54hon2e2vj6c7m3aqqu6uyece65by3vgoxxhlqlsvkmacw6a7m7kiad.onion/en,0,675,,1380,4691,4691,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 5D1362057530891B8B7FBB88366E4820C7C82EB3:prsv:54.37.80.38:FR
mullvad.net,clear,https://mullvad.net,0,0,1,318,772,772,
archive.ph,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0,711,,1599,1600,1600,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 083C52051140DB8AF770BD40C7C8883EFFF4CAF3:NAKAM:212.227.165.251:DE
archive.ph,clear,https://archive.ph,40,1032,,1727,3338,3338,
mempool.space,onion,http://mempoolhqx4isw62xs7abwphsq7ldayuidyx2v2oethdhhj6mlo2r6ad.onion/,0,0,,3984,5110,5110,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 482FAADEA78BE10026F1BD0A28039C6C437B8844:PrincessDaisy:178.85.130.67:NL
mempool.space,clear,https://mempool.space,0,0,2,447,1859,1859,
taz.de,onion,http://zervmwoc5flabhlh3heegnspbpoebbgr3kgkaarkpnz2gtsuunlxgqyd.onion/!p4608;web/,0,0,,3378,4396,4396,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 3ADA8CCC38AF196639ECF7FC7BF2215434F0C64D:Ensayon4Privacy3:94.130.36.21:DE
taz.de,clear,https://taz.de,1,132,,416,538,538,
marxists.org,onion,http://www.marxists3va6eopxoeiegih3iyex2zg3tmace7afbxjqlabmranzjjad.onion/index.htm,0,1460,,2326,3798,3798,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 10AFE045E82BBC3336BC3477F336362DE813D093:HugeTransFemNerd:217.154.77.154:DE
marxists.org,clear,https://marxists.org,25,119,,440,612,612,
wiz.biz,onion,http://wizbizrnszzzyfe6j75tpwd7hn4gf2tlvzdsokkosxfbox73ctzaqdqd.onion/,0,1523,,2418,3262,3262,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 8FEEA738BFC24D0F93AE5833575D52A6F0433F29:mchammer:64.65.62.185:US
wiz.biz,clear,https://wiz.biz,1,335,,704,867,867,
f-droid.org,onion,http://fdroidorg6cooksyluodepej4erfctzk7rrjpjbbr6wx24jh3lqyfwyd.onion/index.html.en,0,1253,,2842,4335,4335,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; DAB09C9C6118A8FD61F91C1186B2CF84A1467B3B:Edric:94.23.76.244:FR
f-droid.org,clear,https://f-droid.org,0,110,,409,525,525,
cock.li,onion,http://rurcblzhmdk22kttfkel2zduhyu3r6to7knyc7wiorzrx5gw4c3lftad.onion/,0,846,,1093,1521,1521,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; FB4236B1D2C3C7FEA15C86583E808CC294EA8831:Gurkenserver:213.165.83.14:DE
cock.li,clear,https://cock.li,11,74,1,153,270,270,
mediapart.fr,onion,https://www.mediapartrvj4bsgolbxixw57ru7fh4jqckparke4vs365guu6ho64yd.onion/,0,3759,,5433,6633,6633,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 2D84CADBA63EF1E4486855ACCCF53C90C4F21973:zro:64.65.63.5:NL
mediapart.fr,clear,https://mediapart.fr,22,0,1,333,421,421,
riseup.net,onion,http://vww6ybal4bd7szmgncyruucpgfkqahzddi37ktceo3ah7ngmcopnpyyd.onion/index.en.html,0,2208,,2799,5435,5435,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 10AFE045E82BBC3336BC3477F336362DE813D093:HugeTransFemNerd:217.154.77.154:DE
riseup.net,clear,https://riseup.net,58,551,,803,3058,3058,
blockstream.info,onion,http://explorerzydxu5ecjrkwceayqybizmpjjznk5izmitf2modhcusuqlid.onion/,0,3234,,4011,11812,11812,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; 235A96D6C1489B504E4DCB35C21C9DCCA01E4758:TK778:46.226.111.65:FR
blockstream.info,clear,https://blockstream.info,16,283,,596,2004,2004,
svoboda.org,onion,https://www.svobod7mjzb3hwxhgcnx7ui2ffd4p5zulftzkzdlmpaztuuoxnlpwhyd.onion/,0,2274,,5077,9032,9032,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; E6D32265F08C3CE616365B5D5FFAF64C63AEB6DC:myNiceRelay:152.53.100.209:AT
svoboda.org,clear,https://svoboda.org,26,17,,324,1228,1228,
archive.org,onion,https://archivep75mbjunhxc6x4j5mwjmomyxb573v42baldlqu56ruil2oiad.onion/,0,2580,,5008,7463,7463,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 73D5045F4AE50B224CABDADC339B5D101CF5A465:Kanellos:146.0.36.87:DE
archive.org,clear,https://archive.org,20,342,,1184,4010,4010,
theguardian.com,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0,28969,,30391,36435,36435,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 3E76EE4A284E3D0A0792CCA057946601484BB3AB:torzilla:51.195.43.58:DE
theguardian.com,clear,https://theguardian.com,0,0,1,372,504,504,
brave.com,onion,https://brave4u7jddbv7cyviptqjc7jusxh72uik7zt6adtckl5f4nwy2v72qd.onion/index.html,0,0,1,6648,9509,9509,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 8A305597ACEC21FF69645F57716F9A0F160C726B:RelayUli:57.128.228.176:PL
brave.com,clear,https://brave.com,23,59,,338,383,383,
guardian.co.uk,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0,966,,2266,3749,3749,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 3E76EE4A284E3D0A0792CCA057946601484BB3AB:torzilla:51.195.43.58:DE
guardian.co.uk,clear,https://guardian.co.uk,0,0,1,412,536,536,
voanews.com,onion,https://www.voanews5aitmne6gs2btokcacixclgfl43cv27sirgbauyyjylwpdtqd.onion/,0,4095,,6407,11529,11529,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 512219649B647564779A016C054ADCF1D08D48EF:revolt:65.109.98.156:FI
voanews.com,clear,https://voanews.com,33,18,,315,993,993,
proton.me,onion,https://protonmailrmez3lotccipshtkleegetolb73fuirgj7r4o4vfu7ozyd.onion/,0,1454,,2882,4040,4040,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 0F59F9559A0DBFA8CCE0CBAA6EE54AE59106AD8A:Heaven24elayingOG15:45.153.34.221:DE
proton.me,clear,https://proton.me,0,89,4,310,522,522,
amnesty.org,onion,https://www.amnestyl337aduwuvpf57irfl54ggtnuera45ygcxzuftwxjvvmpuzqd.onion,0,0,1,6226,7043,7043,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; 89F95502BDA81E44B67BADBFFF00DA80CDD4AFB5:prsv:51.38.112.15:DE
amnesty.org,clear,https://amnesty.org,0,0,3,699,715,715,
propublica.org,onion,http://p53lf57qovyuvwsc6xnrppyply3vtqm7l6pcobkmyqsiofyeznfu5uqd.onion/,0,1085,,2489,8380,8380,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 3A4E6203B16D291A7E2A2E262B062DAB70E538E1:Intrepid:87.236.195.203:CZ
propublica.org,clear,https://propublica.org,31,13,,1043,1918,1918,
torproject.org,onion,http://2gzyxa5ihm7nsggfxnu52rck2vv4rvmdlkiu3zzui5du4xyclen53wid.onion/index.html,0,4631,,5716,6938,6938,
torproject.org,clear,https://torproject.org,16,97,,924,1200,1200,
archive.is,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0,1388,,2320,2320,2320,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; D915AB0DE0B7D1E508F5FF9B95CA22CC2DFBB2B3:torlvemmax:89.36.161.29:LV
archive.is,clear,https://archive.is,52,1016,,2183,3085,3085,
rferl.org,onion,https://www.rferlo2zxgv23tct66v45s5mecftol5vod3hf4rqbipfp46fqu2q56ad.onion/,0,863,,2609,6448,6448,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 2CD23D10948D1C6039977852274F700278B39EE8:Rantallion:51.38.110.234:DE
rferl.org,clear,https://rferl.org,21,20,,382,1317,1317,
mullvad.net,onion,http://o54hon2e2vj6c7m3aqqu6uyece65by3vgoxxhlqlsvkmacw6a7m7kiad.onion/en,0,773,,1840,5601,5601,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; 365DA168E258A03C1B1A19FABE0E51664A811248:Gaius:37.46.211.19:CZ
mullvad.net,clear,https://mullvad.net,0,0,2,329,734,734,
archive.ph,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0,438,,985,985,985,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; D915AB0DE0B7D1E508F5FF9B95CA22CC2DFBB2B3:torlvemmax:89.36.161.29:LV
archive.ph,clear,https://archive.ph,28,1000,,1676,2330,2330,
mempool.space,onion,http://mempoolhqx4isw62xs7abwphsq7ldayuidyx2v2oethdhhj6mlo2r6ad.onion/,0,0,,5118,6013,6013,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; D74914027D56E2B7D431056F0C8B880FF2D8B07A:Orrion:138.201.54.59:DE
mempool.space,clear,https://mempool.space,0,0,2,468,1860,1860,
taz.de,onion,http://zervmwoc5flabhlh3heegnspbpoebbgr3kgkaarkpnz2gtsuunlxgqyd.onion/!p4608;web/,0,0,,4665,5871,5871,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 32ED1B555FB140D6DB9BF1AFF81C2B66B321D2A8:Spiegelberg:51.81.56.228:US
taz.de,clear,https://taz.de,1,114,,428,545,545,
marxists.org,onion,http://www.marxists3va6eopxoeiegih3iyex2zg3tmace7afbxjqlabmranzjjad.onion/index.htm,0,1230,,2091,3621,3621,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; E8350C6519256087DAEAE3A1CBDAD4692791CA76:XMRisPrivateGuard:185.148.1.210:FI
marxists.org,clear,https://marxists.org,20,116,,446,679,679,
wiz.biz,onion,http://wizbizrnszzzyfe6j75tpwd7hn4gf2tlvzdsokkosxfbox73ctzaqdqd.onion/,0,1724,,2826,3302,3302,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; 048FEDBCDAA2F5AD70CC90275EB4434676B408C5:TorUtilizer:81.169.200.3:DE
wiz.biz,clear,https://wiz.biz,1,325,,696,861,861,
f-droid.org,onion,http://fdroidorg6cooksyluodepej4erfctzk7rrjpjbbr6wx24jh3lqyfwyd.onion/index.html.en,0,1799,,6833,8648,8648,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 0939A7FBB544A75FAF3887254BCBC6E3B4CEB4C4:RadicalPrivacy3:37.46.211.102:CZ
f-droid.org,clear,https://f-droid.org,16,45,,362,366,366,
cock.li,onion,http://rurcblzhmdk22kttfkel2zduhyu3r6to7knyc7wiorzrx5gw4c3lftad.onion/,0,1040,,1354,1945,1945,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; D0FD422EFA450951A7CFED1E824ED237F2708FD1:GhostSwag:185.28.47.4:LV
cock.li,clear,https://cock.li,12,76,,155,252,252,
